Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ts1,Chrome 65.0.3325.181,,2018-07-31 16:28:12,2018-07-31 16:29:06,53.698s,FAILED
,,,,,,
Test Cases/tc1,Chrome 65.0.3325.181,,2018-07-31 16:28:13,2018-07-31 16:28:30,17.464s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-07-31 16:28:14,2018-07-31 16:28:19,5.000s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-07-31 16:28:19,2018-07-31 16:28:29,9.727s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 16:28:29,2018-07-31 16:28:29,0.289s,PASSED
setEncryptedText,Chrome 65.0.3325.181,,2018-07-31 16:28:29,2018-07-31 16:28:30,1.512s,FAILED
,,,,,,
Test Cases/tc1,Chrome 65.0.3325.181,,2018-07-31 16:28:30,2018-07-31 16:28:50,19.497s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-07-31 16:28:30,2018-07-31 16:28:34,3.593s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-07-31 16:28:34,2018-07-31 16:28:49,15.385s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 16:28:49,2018-07-31 16:28:50,0.202s,PASSED
setEncryptedText,Chrome 65.0.3325.181,,2018-07-31 16:28:50,2018-07-31 16:28:50,0.292s,FAILED
,,,,,,
Test Cases/tc1,Chrome 65.0.3325.181,,2018-07-31 16:28:50,2018-07-31 16:29:05,14.892s,FAILED
openBrowser,Chrome 65.0.3325.181,,2018-07-31 16:28:50,2018-07-31 16:28:53,3.519s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-07-31 16:28:53,2018-07-31 16:29:04,10.869s,PASSED
setText,Chrome 65.0.3325.181,,2018-07-31 16:29:04,2018-07-31 16:29:05,0.192s,PASSED
setEncryptedText,Chrome 65.0.3325.181,,2018-07-31 16:29:05,2018-07-31 16:29:05,0.295s,FAILED
